regionId;regionName;partyId;partyName;candidateId;candidateName;col6
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;115;Симеон Павлов Киров;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;116;Йорданка Георгиева Бърдарска;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;117;Симона Руменова Дончева Папудова;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;118;Недялко Андреев Томов;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;119;Методи Трайков Бисерков;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;120;Марин Александров Митов;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;121;Маня Славчова Мартинш;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;101;Цвета Валентинова Рангелова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;102;Мустафа Мустафов Люманков;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;103;Илко Александров Гълъбов;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;104;Марио Георгиев Костадинов;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;105;Методи Георгиев Спасов;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;106;Весела Александрова Андонова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;107;Люба Тодорова Райкова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;108;Величка Людмилова Борикова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;109;Вергиния Иванова Секулова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;110;Владимир Добрев Арабаджиев;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;111;Атанас Пламенов Карамангалов;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;112;Ангелина Георгиева Пройкова;
1;01. БЛАГОЕВГРАД;8;ВЪЗРАЖДАНЕ;113;Димитър Ангелов Льотев;
1;01. БЛАГОЕВГРАД;9;МОЯ БЪЛГАРИЯ;101;Ташко Алексиев Ташев;
1;01. БЛАГОЕВГРАД;9;МОЯ БЪЛГАРИЯ;102;Петър Георгиев Петров;
1;01. БЛАГОЕВГРАД;9;МОЯ БЪЛГАРИЯ;103;Емил Ананиев Станоев;
1;01. БЛАГОЕВГРАД;10;Движение на непартийните кандидати;101;Кирил Василев Узунов;
1;01. БЛАГОЕВГРАД;10;Движение на непартийните кандидати;102;Мариана Кирилова Апостолова;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;101;Ахмед Ахмедов Вранчев;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;102;Реджеп Бакия Черкез;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;103;Вайдин Хасанов Мисанков;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;104;Исмен Сейдиев Моллов;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;105;Муса Джемал Палев;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;106;Силвие Джевдет Меймиш;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;107;Байрям Мустафа Гета;
1;01. БЛАГОЕВГРАД;11;АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС;108;Айшен Юсуф Османова;
